Mean,StdDev,Code,Color
0,0.001,Ice Free,orange
0.05,0.025,Trace,orange
0.1,0.025,1,red
0.2,0.025,2,red
0.3,0.025,3,red
0.4,0.025,4,red
0.5,0.025,5,red
0.6,0.025,6,red
0.7,0.025,7,red
0.8,0.025,8,red
0.9,0.025,9,red
0.95,0.025,9+,orange
1,0.001,10,orange
0.15,0.05,1 2,blue
0.25,0.05,2 3,blue
0.35,0.05,3 4,blue
0.45,0.05,4 5,blue
0.55,0.05,5 6,blue
0.65,0.05,6 7,blue
0.75,0.05,7 8,blue
0.85,0.05,8 9,blue
0.95,0.05,9 10,blue
0.2,0.075,1 3,green
0.3,0.075,2 4,green
0.4,0.075,3 5,green
0.5,0.075,4 6,green
0.6,0.075,5 7,green
0.7,0.075,6 8,green
0.8,0.075,7 9,green
0.9,0.075,8 10,green